N,MARCA,MODELO,ano,KILOMETRAJE,cilindrada,combustible,sis_entrega,NO,PCV_NAFTA,EGR,NO,CAT
126,FORD,FOCUS,2017,"20,000",2,NAFTA,MULTIPUNTO,,,,SI,
127,NISSAN,TIIDA,2011,"110,000",1.9,NAFTA,MULTIPUNTO,,,,,
128,PEUGEOT,408,2013,"93,000",2,NAFTA,MULTIPUNTO,,,,NO,
129,CHEVROLET,CORSA CLASSIC,2007,"200,000",1.8,NAFTA,MULTIPUNTO,,,,,
130,CHEVROLET,CORSA CLASSIC,2015,"43,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
132,PEUGEOT,206,2006,"178,000",1.6,NAFTA,MULTIPUNTO,,,,,
133,FIAT,FIORINO,2008,"330,000",1.4,NAFTA,MULTIPUNTO,,,,,
134,VOLKSWAGEN,1500,1985,,1.8,NAFTA,CARBURADOR,,,,NO,
135,FIAT,IDEA,2015,"65,000",1.6,GAS,MULTIPUNTO,,,,NO,
136,KIA,SORENTO,2003,"195,000",1.1,NAFTA,MULTIPUNTO,,,,,
137,PEUGEOT,208,2016,"31,000",1.5,NAFTA,MULTIPUNTO,,,,SI,
138,RENAULT,SANDERO,2012,"35,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
139,FORD,ECOSPORT,2014,"35,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
140,RENAULT,SANDERO,2015,"90,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
141,VOLKSWAGEN,FOX,2010,"27,000",1.6,NAFTA,MULTIPUNTO,,,,,
142,FORD,FIESTA,2011,"100,000",1.6,NAFTA,MULTIPUNTO,,,,,
143,PEUOGEOT,207,2016,"14,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
144,VOLKSWAGEN 1 SEMANA,GOL TREND,2018,600,1.6,NAFTA,MULTIPUNTO,,,,SI,
145,RENAULT,SANDERO,2018,"43,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
146,NISSAN,XTRAIL,2009,"170,000",2,NAFTA,MULTIPUNTO,,,,,
147,FORD,RANGER,2014,"100,000",2.2,DIESEL,COMMON RAIL,,SI,SI,NO,
148,MERCEDEZ,MB180,1994,"500,000",2.4,DIESEL,PRE CAMARA,CAMION,NO,NO,NO,
149,VOLKSWAGEN,GOL,2005,"135,000",1.9,DIESEL,INYECCION DIRECTA,,NO,NO,NO,
150,RENAULT,KANGOO,2011,"170,000",1.6,NAFTA,MULTIPUNTO,,,,,
151,FIAT,500,2012,"56,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
152,CHEVROLET,CORSA CLASSIC,2008,"80,000",1.6,NAFTA,MULTIPUNTO,,,,,
153,CHEVROLET,AGILE,2012,"90,000",1.4,NAFTA,MULTIPUNTO,,,,NO,
